IDPOL,INIVIG,Año,Mes,Tipo,Sexo_Titular,Sexo_Adjunto,ECON_Titular,ECON_Adjunto,Status_Titular,Status_Adjunto,PROD,SAF,SAD,CREC,%CREC,COB,PAG,DIV,MON,SIT,F_GAR
16,02/04/2021,2021,4,Último Superviviente,M,F,48,42,FND,FD,V,30030,NA,NA,NA,NA,1,NA,MXN,Normal,NA
41,03/04/2021,2021,4,Individual,M,M,36,36,NFND,FND,DM,296850,296850,NA,NA,20,14,SI,MXN,Normal,NA
40,03/04/2021,2021,4,Individual,M,F,36,46,NFND,NFND,T,96100,NA,NA,NA,20,1,NA,MXN,Normal,NA
39,03/04/2021,2021,4,Individual,F,F,39,39,FD,FD,DM,193370,193370,NA,NA,5,1,SI,MXN,Normal,NA
38,03/04/2021,2021,4,Vida Conjunta,F,F,35,35,NFND,NFND,V,1538620,NA,NA,NA,NA,54,NA,MXN,Normal,NA
42,03/04/2021,2021,4,Individual,M,F,53,51,NFD,NFND,T,936660,NA,NA,NA,5,5,NA,MXN,Normal,NA
36,03/04/2021,2021,4,Individual,F,F,37,39,NFND,NFND,T,463010,NA,NA,NA,15,15,NA,UDI,Normal,NA
35,03/04/2021,2021,4,Individual,F,M,46,54,NFND,NFND,V,659110,NA,VARIABLE,0.027,NA,1,NA,MXN,Saldado,2022-04-03
34,03/04/2021,2021,4,Último Superviviente,M,M,33,25,FND,FND,T,593630,NA,VARIABLE,0.033,10,10,NA,MXN,Normal,NA
37,03/04/2021,2021,4,Individual,M,M,55,63,NFND,NFD,V,218500,NA,NA,NA,NA,1,NA,MXN,Normal,NA
54,04/04/2021,2021,4,Último Superviviente,F,M,34,29,NFND,FND,T,1652410,NA,VARIABLE,0.019,5,5,NA,MXN,Normal,NA
53,04/04/2021,2021,4,Individual,F,F,41,34,FND,NFND,T,616000,NA,NA,NA,20,1,NA,MXN,Normal,NA
52,04/04/2021,2021,4,Vida Conjunta,M,F,34,38,NFND,NFND,T,133430,NA,NA,NA,10,8,NA,MXN,Normal,NA
51,04/04/2021,2021,4,Individual,F,M,33,33,NFND,NFND,T,85900,NA,NA,NA,15,11,NA,MXN,Normal,NA
50,04/04/2021,2021,4,Vida Conjunta,F,F,35,35,FND,NFD,DM,388350,Última,VARIABLE,0.033,25,25,SI,MXN,Normal,NA
49,04/04/2021,2021,4,Vida Conjunta,M,M,40,40,NFD,NFD,DM,110740,110740,NA,NA,10,1,SI,MXN,Normal,NA
47,04/04/2021,2021,4,Individual,F,M,36,36,NFND,FND,T,125500,NA,NA,NA,10,9,NA,MXN,Normal,NA
46,04/04/2021,2021,4,Individual,F,M,40,38,NFD,NFND,T,2775710,NA,NA,NA,15,15,NA,MXN,Normal,NA
45,04/04/2021,2021,4,Individual,M,F,47,47,NFND,FND,DM,87040,87040,NA,NA,15,1,SI,MXN,Normal,NA
44,04/04/2021,2021,4,Individual,F,M,39,33,NFND,FND,T,830620,NA,NA,NA,25,25,NA,MXN,Normal,NA
43,04/04/2021,2021,4,Individual,M,F,39,41,FND,FND,DM,441750,441750,NA,NA,15,4,SI,UDI,Normal,NA
48,04/04/2021,2021,4,Vida Conjunta,F,M,43,45,FND,NFD,T,218340,NA,NA,NA,20,1,NA,MXN,Normal,NA
62,05/04/2021,2021,4,Individual,M,F,42,42,NFND,NFND,T,716050,NA,NA,NA,20,20,NA,UDI,Normal,NA
66,05/04/2021,2021,4,Individual,F,M,39,36,FND,FND,DM,8000000,8000000,NA,NA,25,3,SI,MXN,Normal,NA
65,05/04/2021,2021,4,Último Superviviente,F,M,34,39,FD,FD,T,183540,NA,NA,NA,10,10,NA,MXN,Normal,NA
64,05/04/2021,2021,4,Individual,M,F,51,57,NFND,NFND,V,495180,NA,FIJO,0.015,NA,10,NA,MXN,Normal,NA
63,05/04/2021,2021,4,Individual,F,M,39,31,NFND,NFND,T,1443840,NA,NA,NA,5,5,NA,MXN,Normal,NA
61,05/04/2021,2021,4,Individual,M,M,46,46,FD,FD,DM,379010,379010,NA,NA,10,4,SI,MXN,Normal,NA
59,05/04/2021,2021,4,Individual,F,M,54,54,FND,FND,V,548330,NA,NA,NA,NA,44,NA,MXN,Normal,NA
58,05/04/2021,2021,4,Individual,M,F,42,42,FD,NFND,T,398290,NA,NA,NA,10,10,NA,UDI,Normal,NA
57,05/04/2021,2021,4,Último Superviviente,M,M,29,25,NFND,FND,T,703190,NA,NA,NA,10,10,NA,UDI,Normal,NA
56,05/04/2021,2021,4,Individual,M,F,46,43,NFD,NFD,T,253930,NA,NA,NA,15,10,NA,MXN,Normal,NA
55,05/04/2021,2021,4,Individual,F,M,53,49,NFND,NFND,T,625020,NA,NA,NA,5,4,NA,USD,Normal,NA
60,05/04/2021,2021,4,Individual,M,F,58,58,NFND,NFND,V,86390,NA,NA,NA,NA,48,NA,MXN,Normal,NA
77,06/04/2021,2021,4,Último Superviviente,F,F,30,30,NFD,NFD,T,255880,NA,NA,NA,10,10,NA,MXN,Normal,NA
86,06/04/2021,2021,4,Individual,F,M,46,46,NFD,NFD,DM,665530,665530,NA,NA,15,11,SI,MXN,Normal,NA
85,06/04/2021,2021,4,Vida Conjunta,F,M,40,40,NFND,FND,T,205520,NA,NA,NA,25,25,NA,MXN,Prórrogado,2045-04-06
84,06/04/2021,2021,4,Individual,F,F,43,50,FND,FND,V,112120,NA,NA,NA,NA,1,NA,MXN,Normal,NA
83,06/04/2021,2021,4,Individual,M,M,46,49,FND,FND,T,1178470,NA,NA,NA,15,15,NA,MXN,Normal,NA
82,06/04/2021,2021,4,Individual,F,M,37,30,NFND,NFND,T,291320,NA,NA,NA,10,10,NA,USD,Normal,NA
81,06/04/2021,2021,4,Individual,M,F,31,32,NFND,FND,T,141720,NA,NA,NA,10,10,NA,UDI,Normal,NA
80,06/04/2021,2021,4,Vida Conjunta,F,M,33,33,FND,FND,V,242560,NA,NA,NA,NA,39,NA,MXN,Normal,NA
79,06/04/2021,2021,4,Individual,F,F,31,25,NFND,FND,DM,526360,526360,NA,NA,15,1,SI,MXN,Normal,NA
78,06/04/2021,2021,4,Individual,M,F,42,49,FD,FD,DM,475710,475710,NA,NA,5,1,SI,MXN,Normal,NA
75,06/04/2021,2021,4,Individual,F,F,36,27,NFND,NFND,T,215240,NA,FIJO,0.012,5,5,NA,MXN,Normal,NA
76,06/04/2021,2021,4,Individual,M,F,48,56,NFD,NFD,DM,260940,Última,VARIABLE,0.046,15,15,SI,MXN,Normal,NA
74,06/04/2021,2021,4,Vida Conjunta,M,F,37,39,FND,NFND,DM,74040,74040,NA,NA,5,5,SI,MXN,Normal,NA
73,06/04/2021,2021,4,Individual,M,F,39,35,FND,FND,T,297370,NA,NA,NA,15,5,NA,UDI,Normal,NA
72,06/04/2021,2021,4,Individual,F,M,42,51,NFD,NFD,DM,302660,Última,FIJO,0.039,15,6,SI,MXN,Normal,NA
71,06/04/2021,2021,4,Último Superviviente,M,F,42,37,FD,NFND,DM,195020,Última,VARIABLE,0.018,25,18,SI,MXN,Normal,NA
70,06/04/2021,2021,4,Individual,F,M,40,40,NFND,NFND,V,348340,NA,NA,NA,NA,56,NA,MXN,Normal,NA
69,06/04/2021,2021,4,Individual,F,M,28,22,NFD,NFD,T,202040,NA,NA,NA,15,15,NA,MXN,Normal,NA
68,06/04/2021,2021,4,Individual,F,M,44,35,FD,FD,T,420170,NA,NA,NA,10,10,NA,MXN,Normal,NA
67,06/04/2021,2021,4,Individual,M,F,34,32,FND,NFD,T,170770,NA,NA,NA,20,20,NA,MXN,Normal,NA
97,07/04/2021,2021,4,Individual,F,F,61,63,NFND,NFND,DM,99260,99260,NA,NA,5,5,SI,MXN,Normal,NA
98,07/04/2021,2021,4,Individual,F,F,36,39,FND,FD,DM,305430,Última,FIJO,0.013,5,5,SI,MXN,Normal,NA
90,07/04/2021,2021,4,Individual,M,F,47,55,NFD,NFND,T,573080,NA,NA,NA,10,10,NA,MXN,Normal,NA
100,07/04/2021,2021,4,Vida Conjunta,M,F,44,44,NFND,NFND,T,450110,NA,FIJO,0.024,15,3,NA,MXN,Normal,NA
96,07/04/2021,2021,4,Individual,M,F,44,44,NFD,FD,T,793500,NA,NA,NA,15,9,NA,MXN,Normal,NA
99,07/04/2021,2021,4,Individual,F,M,33,24,FD,FND,T,367450,NA,FIJO,0.033,20,1,NA,MXN,Normal,NA
95,07/04/2021,2021,4,Individual,M,F,49,49,NFND,NFND,V,565620,NA,NA,NA,NA,1,NA,MXN,Normal,NA
87,07/04/2021,2021,4,Individual,F,M,35,29,NFD,NFD,T,765780,NA,NA,NA,20,9,NA,MXN,Normal,NA
93,07/04/2021,2021,4,Individual,M,F,31,39,NFND,NFND,T,6162620,NA,FIJO,0.038,15,15,NA,UDI,Normal,NA
92,07/04/2021,2021,4,Individual,F,M,31,33,FND,FND,DM,281690,281690,NA,NA,10,10,SI,MXN,Normal,NA
91,07/04/2021,2021,4,Vida Conjunta,M,M,48,48,FND,FND,T,1538910,NA,NA,NA,5,3,NA,MXN,Normal,NA
89,07/04/2021,2021,4,Vida Conjunta,M,M,32,26,NFND,FD,T,10000,NA,NA,NA,10,3,NA,MXN,Normal,NA
88,07/04/2021,2021,4,Individual,M,F,37,39,FD,NFND,DM,193190,193190,NA,NA,15,15,SI,MXN,Normal,NA
94,07/04/2021,2021,4,Último Superviviente,F,M,41,41,NFND,NFD,T,405060,NA,NA,NA,15,15,NA,MXN,Normal,NA
110,08/04/2021,2021,4,Individual,F,M,44,37,NFD,FD,DM,234670,234670,NA,NA,20,5,SI,UDI,Normal,NA
109,08/04/2021,2021,4,Individual,M,F,33,26,FD,FD,DM,2492680,2492680,NA,NA,10,10,SI,MXN,Normal,NA
108,08/04/2021,2021,4,Último Superviviente,M,F,36,36,NFND,FD,DM,189910,189910,NA,NA,15,1,SI,MXN,Normal,NA
107,08/04/2021,2021,4,Individual,F,M,48,40,FD,FD,V,1142260,NA,NA,NA,NA,62,NA,UDI,Normal,NA
106,08/04/2021,2021,4,Último Superviviente,F,M,50,60,NFND,NFD,V,105410,NA,NA,NA,NA,34,NA,UDI,Normal,NA
104,08/04/2021,2021,4,Vida Conjunta,M,F,37,36,NFND,NFND,T,578300,NA,NA,NA,10,5,NA,MXN,Normal,NA
103,08/04/2021,2021,4,Individual,F,M,50,50,NFD,FND,DM,309230,309230,NA,NA,10,10,SI,UDI,Normal,NA
102,08/04/2021,2021,4,Individual,M,F,39,42,NFD,FD,T,216570,NA,NA,NA,15,15,NA,MXN,Normal,NA
101,08/04/2021,2021,4,Vida Conjunta,F,M,22,22,FD,FD,DM,600610,600610,NA,NA,15,1,SI,UDI,Normal,NA
105,08/04/2021,2021,4,Individual,M,M,43,43,FND,FD,DM,178500,162210,NA,NA,25,23,SI,MXN,Normal,NA
122,09/04/2021,2021,4,Individual,M,F,42,50,NFND,FND,T,617880,NA,FIJO,0.04,10,10,NA,MXN,Normal,NA
121,09/04/2021,2021,4,Individual,M,F,45,36,NFND,FND,V,1245810,NA,NA,NA,NA,58,NA,MXN,Normal,NA
123,09/04/2021,2021,4,Individual,M,F,29,19,NFD,FD,T,520150,NA,NA,NA,20,2,NA,MXN,Normal,NA
120,09/04/2021,2021,4,Individual,M,M,49,49,NFND,NFND,DM,551430,551430,NA,NA,20,20,SI,MXN,Prórrogado,2038-04-09
125,09/04/2021,2021,4,Vida Conjunta,M,M,56,61,NFND,NFND,V,33060,NA,NA,NA,NA,20,NA,MXN,Normal,NA
126,09/04/2021,2021,4,Individual,M,F,45,53,NFND,NFND,DM,870050,870050,NA,NA,15,1,SI,MXN,Normal,NA
124,09/04/2021,2021,4,Individual,M,F,30,24,FND,NFND,T,164050,NA,NA,NA,10,10,NA,MXN,Normal,NA
119,09/04/2021,2021,4,Individual,M,M,52,52,NFND,NFND,V,117990,NA,NA,NA,NA,1,NA,MXN,Normal,NA
111,09/04/2021,2021,4,Último Superviviente,M,F,39,41,NFD,NFD,DM,1024620,1024620,NA,NA,25,1,SI,MXN,Normal,NA
117,09/04/2021,2021,4,Individual,M,F,32,24,FD,NFND,T,231230,NA,VARIABLE,0.031,20,20,NA,UDI,Normal,NA
116,09/04/2021,2021,4,Individual,M,M,45,45,NFND,NFD,V,322870,NA,NA,NA,NA,60,NA,MXN,Normal,NA
115,09/04/2021,2021,4,Vida Conjunta,M,F,46,46,NFND,FD,T,214290,NA,FIJO,0.042,15,15,NA,MXN,Normal,NA
114,09/04/2021,2021,4,Vida Conjunta,F,M,42,44,NFND,NFD,T,1946150,NA,VARIABLE,0.048,5,3,NA,MXN,Normal,NA
113,09/04/2021,2021,4,Individual,M,F,51,43,NFND,NFD,V,409560,NA,NA,NA,NA,14,NA,UDI,Normal,NA
112,09/04/2021,2021,4,Individual,M,F,40,36,NFD,NFD,DM,193360,193360,NA,NA,15,15,SI,USD,Normal,NA
118,09/04/2021,2021,4,Último Superviviente,F,F,43,36,NFND,NFD,DM,49380,49380,NA,NA,10,3,SI,MXN,Normal,NA
138,10/04/2021,2021,4,Individual,M,F,45,45,NFND,FD,V,880450,NA,NA,NA,NA,42,NA,USD,Normal,NA
137,10/04/2021,2021,4,Vida Conjunta,F,M,32,32,NFD,NFD,T,406450,NA,NA,NA,10,10,NA,MXN,Normal,NA
136,10/04/2021,2021,4,Individual,F,F,43,43,FND,FND,T,595150,NA,FIJO,0.036,10,10,NA,USD,Normal,NA
135,10/04/2021,2021,4,Individual,F,F,49,48,FND,FND,V,279820,NA,NA,NA,NA,1,NA,UDI,Normal,NA
134,10/04/2021,2021,4,Individual,F,M,41,34,NFND,NFND,V,79120,NA,NA,NA,NA,69,NA,MXN,Normal,NA
133,10/04/2021,2021,4,Individual,M,F,43,37,NFD,NFD,DM,404350,404350,NA,NA,15,5,SI,MXN,Normal,NA
131,10/04/2021,2021,4,Individual,F,M,32,32,NFD,FD,DM,53400,53400,NA,NA,10,1,SI,MXN,Normal,NA
130,10/04/2021,2021,4,Individual,F,M,45,37,NFND,NFND,V,97790,NA,NA,NA,NA,18,NA,USD,Normal,NA
129,10/04/2021,2021,4,Vida Conjunta,M,F,48,52,NFND,FD,V,244510,NA,NA,NA,NA,1,NA,MXN,Normal,NA
128,10/04/2021,2021,4,Vida Conjunta,F,M,45,50,FND,NFND,T,276650,NA,NA,NA,10,10,NA,MXN,Normal,NA
127,10/04/2021,2021,4,Individual,M,M,50,45,NFND,NFND,DM,1887780,Última,VARIABLE,0.036,15,1,SI,MXN,Normal,NA
132,10/04/2021,2021,4,Individual,F,M,54,46,FD,FD,V,516930,NA,NA,NA,NA,3,NA,UDI,Normal,NA
146,11/04/2021,2021,4,Vida Conjunta,M,F,43,34,NFND,NFD,T,764810,NA,NA,NA,15,15,NA,MXN,Normal,NA
150,11/04/2021,2021,4,Individual,M,F,31,22,NFND,FND,T,124740,NA,NA,NA,15,10,NA,MXN,Normal,NA
149,11/04/2021,2021,4,Vida Conjunta,F,F,39,39,NFND,NFND,T,429170,NA,NA,NA,20,10,NA,MXN,Normal,NA
148,11/04/2021,2021,4,Individual,F,M,51,51,NFD,NFD,V,37570,NA,NA,NA,NA,37,NA,MXN,Normal,NA
145,11/04/2021,2021,4,Individual,F,M,41,31,NFD,NFND,DM,377830,377830,NA,NA,25,1,SI,MXN,Normal,NA
147,11/04/2021,2021,4,Vida Conjunta,M,M,41,41,NFND,NFND,DM,3960600,3960600,NA,NA,10,10,SI,USD,Normal,NA
143,11/04/2021,2021,4,Vida Conjunta,M,M,44,39,NFND,FD,DM,1020200,1020200,NA,NA,20,20,SI,MXN,Normal,NA
142,11/04/2021,2021,4,Vida Conjunta,F,M,42,42,NFND,FND,T,394640,NA,NA,NA,5,5,NA,MXN,Normal,NA
141,11/04/2021,2021,4,Individual,M,M,29,29,NFND,FND,T,156810,NA,NA,NA,25,12,NA,MXN,Normal,NA
140,11/04/2021,2021,4,Vida Conjunta,F,M,49,49,FND,NFD,T,102830,NA,NA,NA,20,20,NA,MXN,Normal,NA
139,11/04/2021,2021,4,Individual,F,F,41,34,FND,NFND,V,283530,NA,NA,NA,NA,1,NA,MXN,Normal,NA
144,11/04/2021,2021,4,Individual,M,F,45,55,NFND,NFND,V,218910,NA,NA,NA,NA,63,NA,mxn,Normal,NA
163,12/04/2021,2021,4,Individual,M,M,51,51,NFD,NFD,V,1484440,NA,NA,NA,NA,53,NA,MXN,Normal,NA
162,12/04/2021,2021,4,Individual,F,M,46,38,NFD,NFND,V,827030,NA,NA,NA,NA,21,NA,MXN,Prórrogado,2041-04-12
161,12/04/2021,2021,4,Individual,F,M,45,52,NFD,FD,T,2464060,NA,FIJO,0.042,15,8,NA,UDI,Normal,NA
160,12/04/2021,2021,4,Individual,M,F,47,55,NFD,FND,T,1918510,NA,NA,NA,15,15,NA,MXN,Saldado,2034-04-12
158,12/04/2021,2021,4,Individual,M,F,40,49,NFD,NFD,V,65630,NA,NA,NA,NA,65,NA,MXN,Saldado,2083-04-12
157,12/04/2021,2021,4,Individual,F,M,43,43,NFD,FD,DM,389040,389040,NA,NA,25,20,SI,MXN,Normal,NA
159,12/04/2021,2021,4,Vida Conjunta,M,F,37,42,NFD,NFND,T,287500,NA,NA,NA,25,1,NA,MXN,Normal,NA
155,12/04/2021,2021,4,Individual,M,M,41,47,NFD,NFND,T,101320,NA,NA,NA,25,25,NA,MXN,Normal,NA
154,12/04/2021,2021,4,Individual,F,M,47,41,NFD,NFD,T,32400,NA,NA,NA,20,1,NA,MXN,Normal,NA
153,12/04/2021,2021,4,Individual,M,F,53,48,FND,FND,V,513720,NA,NA,NA,NA,4,NA,MXN,Normal,NA
152,12/04/2021,2021,4,Individual,M,F,35,35,NFD,NFD,T,801700,NA,NA,NA,10,10,NA,MXN,Normal,NA
151,12/04/2021,2021,4,Individual,M,F,51,51,NFND,FD,V,447630,NA,NA,NA,NA,24,NA,MXN,Normal,NA
156,12/04/2021,2021,4,Individual,F,M,40,40,NFND,FD,DM,888370,888370,NA,NA,20,1,SI,MXN,Normal,NA
177,13/04/2021,2021,4,Individual,M,F,57,57,NFND,NFND,V,288720,NA,NA,NA,NA,42,NA,MXN,Normal,NA
178,13/04/2021,2021,4,Vida Conjunta,F,F,58,60,NFD,NFD,V,241590,NA,NA,NA,NA,40,NA,MXN,Normal,NA
185,13/04/2021,2021,4,Individual,F,M,39,39,NFND,FD,DM,549100,549100,NA,NA,10,3,SI,MXN,Normal,NA
179,13/04/2021,2021,4,Individual,F,M,42,39,NFND,NFD,T,4623620,NA,VARIABLE,0.038,15,8,NA,MXN,Normal,NA
182,13/04/2021,2021,4,Individual,F,M,56,55,NFND,NFND,V,673810,NA,FIJO,0.035,NA,54,NA,MXN,Normal,NA
181,13/04/2021,2021,4,Vida Conjunta,F,F,44,49,NFND,NFND,V,443040,NA,NA,NA,NA,42,NA,UDI,Normal,NA
183,13/04/2021,2021,4,Último Superviviente,F,M,35,35,NFND,NFD,T,8000000,NA,NA,NA,10,2,NA,MXN,Normal,NA
184,13/04/2021,2021,4,Individual,M,F,47,47,NFND,NFND,T,1181390,NA,NA,NA,5,5,NA,MXN,Normal,NA
176,13/04/2021,2021,4,Individual,M,F,43,34,FND,FND,DM,262200,262200,NA,NA,20,20,SI,MXN,Normal,NA
180,13/04/2021,2021,4,Vida Conjunta,M,F,20,24,NFND,NFND,T,147010,NA,FIJO,0.031,5,4,NA,MXN,Normal,NA
175,13/04/2021,2021,4,Individual,F,M,48,56,NFND,NFD,V,354510,NA,NA,NA,NA,23,NA,MXN,Normal,NA
170,13/04/2021,2021,4,Individual,M,M,37,31,NFND,NFND,T,685440,NA,NA,NA,20,20,NA,MXN,Normal,NA
173,13/04/2021,2021,4,Individual,F,F,52,54,NFND,NFND,T,739330,NA,NA,NA,10,8,NA,MXN,Normal,NA
174,13/04/2021,2021,4,Vida Conjunta,F,F,41,41,FND,NFND,DM,750250,750250,NA,NA,5,4,SI,MXN,Normal,NA
165,13/04/2021,2021,4,Individual,F,F,49,39,FND,FND,V,689030,NA,NA,NA,NA,28,NA,MXN,Normal,NA
166,13/04/2021,2021,4,Individual,M,F,23,23,NFND,FD,T,225160,NA,NA,NA,20,1,NA,UDI,Normal,NA
167,13/04/2021,2021,4,Vida Conjunta,M,F,44,44,NFND,FD,V,716160,NA,NA,NA,NA,1,NA,MXN,Normal,NA
164,13/04/2021,2021,4,Vida Conjunta,F,F,37,37,FD,FD,DM,108920,108920,NA,NA,5,5,SI,MXN,Normal,NA
169,13/04/2021,2021,4,Individual,F,M,51,56,NFND,NFND,V,503900,NA,NA,NA,NA,37,NA,USD,Normal,NA
171,13/04/2021,2021,4,Individual,F,M,39,39,FND,FD,T,88800,NA,NA,NA,20,20,NA,MXN,Normal,NA
172,13/04/2021,2021,4,Individual,M,F,46,46,NFND,NFD,V,505410,NA,NA,NA,NA,40,NA,MXN,Normal,NA
168,13/04/2021,2021,4,Individual,F,M,26,36,NFND,FD,T,10000,NA,FIJO,0.025,15,15,NA,MXN,Normal,NA
195,14/04/2021,2021,4,Individual,M,F,49,57,NFD,NFD,T,646530,NA,NA,NA,15,3,NA,MXN,Normal,NA
201,14/04/2021,2021,4,Vida Conjunta,F,F,38,30,NFND,FND,T,189200,NA,NA,NA,10,5,NA,USD,Normal,NA
200,14/04/2021,2021,4,Individual,M,F,34,26,NFND,NFND,DM,551960,Última,FIJO,0.035,15,15,SI,MXN,Normal,NA
199,14/04/2021,2021,4,Vida Conjunta,M,F,49,49,NFND,NFND,DM,206400,206400,NA,NA,10,1,SI,MXN,Normal,NA
197,14/04/2021,2021,4,Individual,F,M,48,57,FD,FD,V,2764050,NA,NA,NA,NA,14,NA,MXN,Normal,NA
196,14/04/2021,2021,4,Individual,F,M,38,38,NFND,NFND,T,1272270,NA,NA,NA,5,5,NA,MXN,Normal,NA
194,14/04/2021,2021,4,Vida Conjunta,M,F,47,47,FND,FND,T,2407990,NA,NA,NA,10,1,NA,UDI,Normal,NA
198,14/04/2021,2021,4,Individual,M,M,46,47,NFD,NFD,T,146930,NA,NA,NA,15,15,NA,MXN,Normal,NA
192,14/04/2021,2021,4,Individual,M,M,35,26,FND,FND,DM,2003870,2003870,NA,NA,15,5,SI,MXN,Normal,NA
191,14/04/2021,2021,4,Vida Conjunta,F,M,38,40,NFND,NFD,DM,140380,Última,VARIABLE,0.044,5,1,SI,MXN,Normal,NA
190,14/04/2021,2021,4,Individual,M,F,35,45,NFND,NFD,T,2571770,NA,FIJO,0.035,15,9,NA,MXN,Normal,NA
189,14/04/2021,2021,4,Vida Conjunta,F,M,37,37,FD,FND,V,845270,NA,NA,NA,NA,1,NA,MXN,Normal,NA
188,14/04/2021,2021,4,Individual,M,F,41,37,NFND,FD,T,198820,NA,NA,NA,5,4,NA,MXN,Normal,NA
187,14/04/2021,2021,4,Individual,M,M,49,49,NFND,NFND,V,103370,NA,NA,NA,NA,22,NA,MXN,Normal,NA
186,14/04/2021,2021,4,Vida Conjunta,F,M,34,34,FD,FD,T,45340,NA,NA,NA,10,7,NA,MXN,Normal,NA
193,14/04/2021,2021,4,Vida Conjunta,M,F,18,18,NFD,NFD,T,180950,NA,FIJO,0.04,10,10,NA,MXN,Normal,NA
