Siniestro Número,Póliza,Inivig,Fecha_Ocurr,Fecha_Recla,Monto Pagado
65,2896,02/11/2021,03/07/2024,03/09/2024,742660
371,14244,25/01/2024,18/06/2024,09/09/2024,1101640
306,11622,23/07/2023,05/05/2024,17/09/2024,98790
168,6529,23/07/2022,12/02/2023,02/10/2024,136910
101,4094,27/01/2022,27/04/2024,06/10/2024,586520
404,15497,29/04/2024,21/09/2024,08/10/2024,964880
17,721,24/05/2021,27/01/2024,15/10/2024,773680
162,6257,04/07/2022,30/12/2022,26/10/2024,216010
157,6068,21/06/2022,12/05/2024,28/10/2024,114870
223,8761,02/01/2023,21/05/2024,28/10/2024,217240
337,13061,03/11/2023,12/10/2024,01/11/2024,602870
236,9424,18/02/2023,11/03/2024,03/11/2024,857080
46,1817,14/08/2021,18/11/2022,05/11/2024,1075740
58,2581,09/10/2021,06/04/2023,17/11/2024,265130
133,5181,17/04/2022,18/10/2024,26/11/2024,231300
293,11148,21/06/2023,29/07/2024,07/12/2024,3304280
152,5815,02/06/2022,04/11/2023,13/12/2024,1214270
69,3006,09/11/2021,21/09/2024,16/12/2024,208220
320,12150,02/09/2023,19/07/2024,17/12/2024,23750
296,11244,27/06/2023,28/06/2024,30/12/2024,2089250
84,3393,06/12/2021,02/03/2024,01/01/2025,331670
194,7648,13/10/2022,06/07/2023,08/01/2025,175400
55,2342,20/09/2021,20/05/2023,12/01/2025,468550
330,12457,23/09/2023,24/03/2024,13/01/2025,111060
383,14693,27/02/2024,17/09/2024,15/01/2025,1020950
381,14623,22/02/2024,23/04/2024,17/01/2025,841180
15,680,21/05/2021,28/12/2024,21/01/2025,154080
173,6847,17/08/2022,03/08/2024,02/02/2025,996270
146,5607,18/05/2022,15/12/2023,10/02/2025,333060
2,102,08/04/2021,30/05/2024,15/02/2025,165350
461,17579,27/09/2024,29/11/2024,16/02/2025,61460
91,3714,29/12/2021,06/12/2023,20/02/2025,367650
175,6875,19/08/2022,12/04/2024,20/02/2025,175220
139,5365,30/04/2022,06/04/2023,22/02/2025,762570
52,2138,07/09/2021,02/09/2024,22/02/2025,123880
300,11433,11/07/2023,11/11/2024,09/03/2025,390410
199,7772,22/10/2022,25/04/2024,14/03/2025,337420
165,6298,07/07/2022,15/05/2023,31/03/2025,299880
469,17909,21/10/2024,22/03/2025,01/04/2025,1105890
209,8131,17/11/2022,22/06/2024,02/04/2025,858820
279,10662,19/05/2023,18/05/2024,10/04/2025,187830
145,5595,17/05/2022,26/03/2025,11/04/2025,1381790
254,9932,25/03/2023,11/04/2024,12/04/2025,1751070
130,5118,11/04/2022,17/03/2024,17/04/2025,680160
150,5745,28/05/2022,31/12/2024,21/04/2025,47460
137,5318,27/04/2022,22/03/2023,22/04/2025,340510
457,17459,19/09/2024,21/12/2024,25/04/2025,233960
100,4091,27/01/2022,09/04/2025,26/04/2025,131680
171,6736,08/08/2022,25/07/2023,27/04/2025,260910
4,264,20/04/2021,16/11/2023,28/04/2025,135340
186,7379,23/09/2022,16/01/2025,18/05/2025,1093000
8,428,04/05/2021,24/11/2024,20/05/2025,378340
399,15345,17/04/2024,10/02/2025,25/05/2025,71450
285,10923,06/06/2023,03/07/2024,08/06/2025,2658970
348,13328,22/11/2023,01/10/2024,10/06/2025,832250
314,11909,15/08/2023,31/05/2025,10/06/2025,192760
143,5544,13/05/2022,30/11/2024,16/06/2025,262930
462,17586,28/09/2024,06/11/2024,22/06/2025,804450
70,3050,11/11/2021,15/01/2024,28/06/2025,863450
48,1902,20/08/2021,21/12/2024,07/07/2025,291430
334,12924,24/10/2023,05/03/2024,12/07/2025,209530
71,3062,12/11/2021,22/01/2024,28/07/2025,726520
217,8527,15/12/2022,03/10/2024,29/07/2025,932050
346,13312,21/11/2023,13/02/2024,31/07/2025,1274350
218,8621,24/12/2022,22/08/2023,05/08/2025,696490
50,1969,24/08/2021,06/07/2024,05/08/2025,134650
411,15776,18/05/2024,03/07/2024,12/08/2025,231900
280,10677,20/05/2023,20/02/2024,18/08/2025,894440
112,4433,20/02/2022,27/11/2023,19/08/2025,143170
185,7362,22/09/2022,09/10/2023,20/08/2025,245140
470,17923,22/10/2024,16/07/2025,20/08/2025,681510
455,17398,14/09/2024,07/03/2025,23/08/2025,73770
350,13417,28/11/2023,27/03/2024,23/08/2025,306560
201,7822,25/10/2022,22/05/2025,23/08/2025,98370
136,5308,26/04/2022,07/05/2024,26/08/2025,412380
336,12976,27/10/2023,05/02/2024,26/08/2025,268660
43,1737,08/08/2021,17/09/2023,27/08/2025,956620
200,7773,22/10/2022,19/10/2023,16/09/2025,157740
275,10598,14/05/2023,22/05/2024,26/09/2025,268790
389,14894,14/03/2024,24/08/2025,27/09/2025,164620
141,5514,11/05/2022,09/10/2023,29/09/2025,1733510
83,3344,02/12/2021,27/04/2025,03/10/2025,827730
494,18768,23/12/2024,07/07/2025,05/10/2025,557690
395,15113,31/03/2024,13/07/2025,07/10/2025,687020
290,11088,17/06/2023,21/07/2025,09/10/2025,322210
437,16896,08/08/2024,08/06/2025,10/10/2025,82790
193,7630,11/10/2022,23/04/2024,17/10/2025,524610
170,6655,02/08/2022,25/02/2024,17/10/2025,35790
286,10953,09/06/2023,18/04/2024,23/10/2025,40740
244,9533,25/02/2023,04/10/2024,30/10/2025,1588020
208,8065,12/11/2022,11/09/2024,04/11/2025,154080
373,14372,05/02/2024,21/09/2024,10/11/2025,1821640
87,3493,14/12/2021,14/08/2024,16/11/2025,526840
36,1576,26/07/2021,30/04/2024,19/11/2025,329230
161,6251,04/07/2022,26/08/2025,17/12/2025,2198990
227,9012,21/01/2023,04/10/2025,19/12/2025,5778340
10,463,06/05/2021,17/05/2023,20/12/2025,574830
423,16159,15/06/2024,24/07/2025,23/12/2025,177650
51,2127,06/09/2021,28/03/2024,28/12/2025,114280
402,15434,25/04/2024,23/04/2025,31/12/2025,3366290
221,8733,01/01/2023,14/02/2025,01/01/2026,515220
74,3202,22/11/2021,11/05/2025,03/01/2026,734450
187,7380,23/09/2022,20/08/2023,03/01/2026,4087320
516,19343,04/02/2025,03/10/2025,07/01/2026,794230
229,9067,24/01/2023,24/09/2024,11/01/2026,442250
527,19523,17/02/2025,29/05/2025,12/01/2026,1570460
309,11728,31/07/2023,27/07/2024,16/01/2026,207300
442,17034,19/08/2024,11/05/2025,17/01/2026,729840
119,4825,20/03/2022,05/08/2025,17/01/2026,108050
401,15415,23/04/2024,09/09/2025,19/01/2026,1235790
35,1527,23/07/2021,21/04/2024,01/02/2026,474750
179,7230,14/09/2022,24/10/2022,01/02/2026,819370
393,15046,25/03/2024,14/05/2025,02/02/2026,358140
176,7002,29/08/2022,21/12/2025,02/02/2026,763410
543,20046,26/03/2025,26/12/2025,04/02/2026,721550
403,15447,25/04/2024,29/10/2024,04/02/2026,45670
60,2730,20/10/2021,06/09/2024,06/02/2026,575920
44,1771,10/08/2021,03/06/2023,08/02/2026,1057360
127,5066,07/04/2022,10/02/2025,08/02/2026,398550
487,18540,05/12/2024,03/08/2025,12/02/2026,627990
291,11106,18/06/2023,28/08/2024,23/02/2026,919840
453,17323,10/09/2024,05/06/2025,25/02/2026,1060460
123,4911,27/03/2022,17/09/2025,02/03/2026,59490
166,6335,09/07/2022,20/08/2025,07/03/2026,274800
369,14190,22/01/2024,12/05/2025,09/03/2026,39530
372,14338,02/02/2024,21/02/2025,11/03/2026,297510
266,10295,19/04/2023,08/11/2025,16/03/2026,607140
105,4230,05/02/2022,05/03/2023,22/03/2026,139790
572,21528,15/07/2025,31/01/2026,28/03/2026,156570
124,4938,29/03/2022,11/12/2024,07/04/2026,874290
458,17486,20/09/2024,18/11/2025,14/04/2026,72150
16,692,22/05/2021,11/12/2024,15/04/2026,1302080
358,13759,24/12/2023,01/07/2025,20/04/2026,994750
5,269,20/04/2021,27/10/2024,22/04/2026,130620
117,4809,19/03/2022,24/04/2026,02/05/2026,1537470
405,15511,30/04/2024,29/04/2026,06/05/2026,351700
163,6258,05/07/2022,29/06/2024,06/05/2026,544630
407,15590,05/05/2024,26/08/2024,08/05/2026,319400
156,5995,16/06/2022,12/07/2025,08/05/2026,62330
567,21355,03/07/2025,26/04/2026,20/05/2026,524740
110,4401,18/02/2022,27/10/2025,22/05/2026,320060
268,10396,27/04/2023,29/05/2026,01/06/2026,165320
24,856,03/06/2021,03/09/2022,02/06/2026,3044540
226,8987,19/01/2023,29/11/2025,05/06/2026,78350
125,5020,04/04/2022,30/07/2025,08/06/2026,1515370
585,21996,16/08/2025,13/03/2026,08/06/2026,17460
409,15600,06/05/2024,31/07/2025,14/06/2026,252390
115,4770,16/03/2022,26/06/2024,15/06/2026,309870
418,16070,09/06/2024,05/09/2024,21/06/2026,78870
72,3156,19/11/2021,27/07/2025,24/06/2026,85710
264,10272,18/04/2023,28/04/2026,25/06/2026,578960
234,9319,11/02/2023,17/02/2025,27/06/2026,101710
342,13153,10/11/2023,20/10/2025,27/06/2026,387140
307,11683,28/07/2023,25/05/2024,28/06/2026,142770
408,15599,06/05/2024,24/07/2025,29/06/2026,19620
398,15277,12/04/2024,31/12/2024,29/06/2026,1668280
269,10413,29/04/2023,11/04/2025,03/07/2026,202640
305,11573,19/07/2023,04/03/2025,13/07/2026,45830
104,4181,02/02/2022,28/02/2025,17/07/2026,223060
436,16878,07/08/2024,12/03/2025,28/07/2026,624830
489,18645,13/12/2024,26/07/2026,30/07/2026,16410
410,15641,09/05/2024,12/04/2026,30/07/2026,727880
379,14476,12/02/2024,20/10/2024,05/08/2026,148730
47,1851,16/08/2021,11/12/2024,10/08/2026,323800
588,22165,27/08/2025,01/12/2025,14/08/2026,696970
26,888,06/06/2021,07/11/2024,17/08/2026,371600
547,20179,05/04/2025,06/07/2026,18/08/2026,147170
237,9436,18/02/2023,10/04/2024,19/08/2026,289230
359,13804,27/12/2023,02/06/2026,22/08/2026,5207040
20,754,27/05/2021,02/02/2025,23/08/2026,216580
235,9399,16/02/2023,23/07/2025,25/08/2026,1105710
77,3236,25/11/2021,09/04/2025,28/08/2026,1821100
3,251,19/04/2021,17/05/2026,31/08/2026,540000
188,7419,26/09/2022,22/06/2026,03/09/2026,120170
230,9142,29/01/2023,22/08/2025,07/09/2026,517860
18,746,26/05/2021,29/10/2025,08/09/2026,199530
521,19437,11/02/2025,20/03/2026,14/09/2026,65060
278,10639,17/05/2023,19/10/2024,28/09/2026,245400
6,293,22/04/2021,06/06/2024,05/10/2026,184220
154,5842,04/06/2022,17/05/2026,08/10/2026,41110
99,4065,24/01/2022,03/09/2025,10/10/2026,409290
191,7519,03/10/2022,06/06/2026,11/10/2026,457100
344,13222,15/11/2023,25/07/2026,04/11/2026,2084700
298,11347,04/07/2023,25/03/2025,04/11/2026,770740
553,20401,21/04/2025,15/08/2026,05/11/2026,261580
447,17207,01/09/2024,12/07/2026,05/11/2026,283610
492,18753,21/12/2024,03/10/2025,06/11/2026,546170
311,11862,11/08/2023,09/05/2026,13/11/2026,485450
471,17945,24/10/2024,24/11/2025,14/11/2026,1572030
476,18077,03/11/2024,04/01/2025,18/11/2026,77780
456,17408,15/09/2024,26/06/2025,21/11/2026,124280
360,13807,27/12/2023,05/05/2025,24/11/2026,51690
694,26432,02/07/2026,25/08/2026,25/11/2026,111540
14,663,20/05/2021,05/12/2025,26/11/2026,111250
134,5191,17/04/2022,26/08/2026,26/11/2026,556630
180,7288,18/09/2022,17/01/2024,28/11/2026,249760
19,749,26/05/2021,02/06/2024,06/12/2026,2526360
339,13113,07/11/2023,07/06/2026,06/12/2026,305770
219,8653,26/12/2022,05/03/2025,06/12/2026,251020
378,14468,11/02/2024,23/12/2025,11/12/2026,601670
102,4106,28/01/2022,18/04/2025,14/12/2026,528090
316,12074,28/08/2023,13/05/2025,16/12/2026,183580
241,9475,20/02/2023,10/02/2025,17/12/2026,139690
451,17243,04/09/2024,22/09/2026,23/12/2026,116670
534,19767,06/03/2025,13/01/2026,31/12/2026,73670
287,10962,09/06/2023,07/04/2025,05/01/2027,312540
577,21677,26/07/2025,13/02/2026,06/01/2027,218960
602,22888,19/10/2025,02/07/2026,08/01/2027,193600
294,11225,25/06/2023,05/01/2026,09/01/2027,206140
243,9490,21/02/2023,02/02/2026,18/01/2027,63160
25,862,03/06/2021,10/05/2022,24/01/2027,133180
387,14796,07/03/2024,12/09/2026,24/01/2027,940890
666,25530,27/04/2026,09/11/2026,26/01/2027,88450
169,6597,29/07/2022,20/04/2026,26/01/2027,387100
251,9769,16/03/2023,04/06/2025,29/01/2027,862640
384,14717,01/03/2024,18/09/2026,30/01/2027,497010
207,7998,07/11/2022,23/10/2025,06/02/2027,562240
88,3520,15/12/2021,14/04/2025,01/03/2027,10770
323,12251,09/09/2023,31/05/2026,02/03/2027,44290
367,14080,14/01/2024,11/01/2027,03/03/2027,3165090
295,11234,26/06/2023,09/05/2026,04/03/2027,287520
512,19254,28/01/2025,10/10/2025,10/03/2027,422600
32,1409,13/07/2021,29/11/2023,12/03/2027,376380
390,14913,16/03/2024,17/05/2025,14/03/2027,1195600
64,2884,01/11/2021,05/01/2027,17/03/2027,894820
312,11875,12/08/2023,27/08/2025,19/03/2027,2815400
292,11147,21/06/2023,20/05/2026,19/03/2027,717720
329,12417,20/09/2023,08/02/2026,20/03/2027,2974630
256,9959,27/03/2023,09/10/2025,29/03/2027,2970450
525,19507,16/02/2025,20/01/2026,31/03/2027,550870
142,5540,13/05/2022,24/02/2027,03/04/2027,1765220
232,9283,08/02/2023,14/03/2027,03/04/2027,215320
484,18407,26/11/2024,06/06/2026,07/04/2027,197470
214,8495,14/12/2022,23/09/2025,08/04/2027,1626320
31,1381,11/07/2021,16/04/2026,10/04/2027,94870
648,24826,09/03/2026,13/03/2027,14/04/2027,503180
228,9034,22/01/2023,04/06/2025,16/04/2027,463780
196,7726,18/10/2022,12/08/2026,16/04/2027,425790
62,2818,27/10/2021,15/12/2023,18/04/2027,259960
430,16565,16/07/2024,05/09/2025,27/04/2027,1004530
260,10153,10/04/2023,17/03/2027,28/04/2027,57590
425,16371,30/06/2024,23/11/2025,28/04/2027,263250
707,27171,25/08/2026,22/10/2026,10/05/2027,136870
394,15090,29/03/2024,24/01/2027,17/05/2027,762900
167,6400,14/07/2022,26/01/2026,19/05/2027,1253730
231,9232,04/02/2023,27/09/2026,26/05/2027,148620
535,19772,07/03/2025,06/06/2026,26/05/2027,1705720
215,8501,14/12/2022,09/11/2025,30/05/2027,124830
375,14405,07/02/2024,19/05/2026,31/05/2027,283920
273,10534,09/05/2023,21/12/2025,08/06/2027,315770
259,10095,06/04/2023,16/08/2025,08/06/2027,116220
42,1710,06/08/2021,06/01/2026,08/06/2027,265680
149,5744,27/05/2022,30/10/2023,12/06/2027,205320
518,19367,06/02/2025,02/02/2026,13/06/2027,225340
485,18458,30/11/2024,31/01/2026,19/06/2027,246140
524,19496,15/02/2025,31/10/2026,20/06/2027,124640
128,5083,09/04/2022,30/07/2026,22/06/2027,260890
1,20,02/04/2021,01/11/2025,27/06/2027,124570
382,14689,27/02/2024,17/02/2025,29/06/2027,3018800
406,15520,01/05/2024,30/01/2026,03/07/2027,485370
386,14774,05/03/2024,18/06/2027,03/07/2027,1850110
155,5958,14/06/2022,17/08/2026,09/07/2027,410820
111,4431,20/02/2022,03/08/2024,13/07/2027,265940
78,3257,26/11/2021,25/01/2026,13/07/2027,487510
41,1681,04/08/2021,20/02/2026,27/07/2027,1036700
131,5138,13/04/2022,25/06/2027,31/07/2027,165890
21,777,28/05/2021,12/01/2024,01/08/2027,90170
594,22507,20/09/2025,23/06/2026,02/08/2027,158600
601,22818,14/10/2025,17/11/2025,02/08/2027,1249510
595,22528,21/09/2025,05/04/2027,03/08/2027,583520
333,12861,19/10/2023,29/07/2027,06/08/2027,1323080
529,19558,19/02/2025,23/12/2026,08/08/2027,641650
623,23996,06/01/2026,29/10/2026,10/08/2027,495250
463,17605,29/09/2024,26/04/2026,12/08/2027,470210
670,25639,06/05/2026,20/11/2026,15/08/2027,1345740
488,18559,07/12/2024,18/08/2026,15/08/2027,1325730
584,21989,15/08/2025,11/07/2027,19/08/2027,211560
262,10191,12/04/2023,19/07/2024,22/08/2027,493780
533,19762,06/03/2025,20/02/2026,22/08/2027,203010
202,7855,29/10/2022,10/09/2025,23/08/2027,246950
246,9576,28/02/2023,21/07/2026,25/08/2027,812070
198,7754,21/10/2022,29/10/2025,31/08/2027,1460520
73,3184,21/11/2021,24/05/2023,31/08/2027,428600
522,19464,13/02/2025,30/12/2025,04/09/2027,345150
326,12334,15/09/2023,18/11/2026,07/09/2027,363160
580,21796,03/08/2025,31/07/2027,09/09/2027,428210
483,18345,22/11/2024,10/05/2025,12/09/2027,122420
556,20497,28/04/2025,18/10/2026,16/09/2027,302240
132,5163,15/04/2022,15/02/2027,18/09/2027,51390
562,21080,12/06/2025,22/12/2025,23/09/2027,322420
289,11008,11/06/2023,04/10/2026,23/09/2027,312560
245,9573,28/02/2023,24/03/2027,27/09/2027,540600
559,20854,26/05/2025,31/10/2025,29/09/2027,694380
172,6792,12/08/2022,13/09/2026,04/10/2027,690410
517,19348,05/02/2025,17/02/2026,13/10/2027,197340
440,16947,12/08/2024,15/04/2027,15/10/2027,507620
554,20416,22/04/2025,05/05/2026,16/10/2027,91650
224,8790,04/01/2023,30/07/2027,18/10/2027,488690
638,24537,17/02/2026,24/01/2027,21/10/2027,71620
98,4031,21/01/2022,07/01/2026,30/10/2027,1662870
151,5799,01/06/2022,29/05/2026,05/11/2027,312960
38,1578,26/07/2021,12/07/2026,09/11/2027,7591370
343,13157,11/11/2023,22/10/2027,11/11/2027,2648470
538,19906,17/03/2025,03/11/2026,12/11/2027,151610
422,16141,14/06/2024,12/07/2027,13/11/2027,762140
725,28450,25/11/2026,15/05/2027,16/11/2027,209210
281,10696,22/05/2023,11/09/2027,21/11/2027,338500
364,14061,13/01/2024,06/04/2027,24/11/2027,53920
414,15854,23/05/2024,26/11/2027,04/12/2027,172970
340,13126,07/11/2023,18/01/2026,09/12/2027,320380
247,9710,11/03/2023,13/07/2027,10/12/2027,406950
271,10455,02/05/2023,28/08/2027,12/12/2027,460750
129,5084,09/04/2022,27/03/2027,13/12/2027,242880
135,5285,24/04/2022,09/02/2027,21/12/2027,95080
737,28815,21/12/2026,02/03/2027,25/12/2027,606820
302,11509,15/07/2023,15/11/2027,27/12/2027,976030
213,8480,12/12/2022,30/03/2024,30/12/2027,1054060
683,25972,31/05/2026,16/05/2027,04/01/2028,615560
511,19229,26/01/2025,19/11/2027,06/01/2028,1017130
421,16119,13/06/2024,15/02/2025,09/01/2028,104670
56,2471,30/09/2021,27/02/2027,22/01/2028,1606310
688,26136,12/06/2026,25/10/2027,23/01/2028,123890
501,19056,13/01/2025,01/04/2026,24/01/2028,122820
506,19170,21/01/2025,24/05/2026,28/01/2028,332700
579,21794,03/08/2025,25/06/2027,30/01/2028,217710
118,4811,19/03/2022,01/03/2026,31/01/2028,463870
569,21418,07/07/2025,17/06/2026,31/01/2028,31500
555,20478,27/04/2025,11/07/2025,01/02/2028,692160
331,12649,05/10/2023,23/12/2026,04/02/2028,54230
537,19890,16/03/2025,12/03/2027,05/02/2028,513900
608,23282,15/11/2025,06/10/2027,06/02/2028,539580
220,8656,27/12/2022,07/12/2026,11/02/2028,157280
592,22350,10/09/2025,05/12/2026,18/02/2028,1290970
138,5326,27/04/2022,26/03/2023,23/02/2028,273930
212,8228,23/11/2022,03/08/2026,02/03/2028,599830
640,24587,19/02/2026,02/06/2027,08/03/2028,494560
103,4168,01/02/2022,26/03/2027,15/03/2028,892590
183,7316,20/09/2022,16/02/2028,24/03/2028,245200
89,3540,17/12/2021,07/09/2023,24/03/2028,1014790
420,16112,12/06/2024,18/08/2027,25/03/2028,81290
505,19152,20/01/2025,07/07/2027,01/04/2028,323560
92,3737,01/01/2022,29/09/2026,03/04/2028,453200
189,7506,02/10/2022,15/12/2026,05/04/2028,861370
107,4340,13/02/2022,23/12/2024,07/04/2028,46560
661,25364,16/04/2026,23/02/2028,08/04/2028,597940
560,20959,04/06/2025,11/01/2027,09/04/2028,792510
327,12336,15/09/2023,10/04/2027,14/04/2028,435380
95,3946,15/01/2022,27/06/2026,16/04/2028,362340
611,23524,05/12/2025,22/11/2026,18/04/2028,382240
325,12289,12/09/2023,10/12/2027,18/04/2028,458890
308,11706,30/07/2023,24/02/2028,23/04/2028,198450
277,10630,17/05/2023,10/08/2027,24/04/2028,2224430
332,12794,14/10/2023,09/10/2024,26/04/2028,258370
698,26589,13/07/2026,06/10/2027,27/04/2028,1225820
385,14736,02/03/2024,18/09/2027,28/04/2028,841150
321,12198,06/09/2023,23/07/2026,30/04/2028,63020
349,13357,24/11/2023,07/08/2026,02/05/2028,127850
160,6183,29/06/2022,08/11/2026,06/05/2028,252110
545,20072,29/03/2025,04/10/2027,09/05/2028,622940
474,18037,30/10/2024,02/12/2026,10/05/2028,373500
711,27457,14/09/2026,17/07/2027,11/05/2028,216180
503,19091,15/01/2025,21/12/2027,12/05/2028,120750
284,10836,31/05/2023,16/11/2026,16/05/2028,868960
722,28208,07/11/2026,27/10/2027,16/05/2028,42970
153,5828,03/06/2022,01/11/2026,16/05/2028,1170610
257,9982,28/03/2023,22/04/2028,19/05/2028,1218710
564,21188,21/06/2025,06/11/2027,19/05/2028,70540
490,18685,15/12/2024,17/02/2028,21/05/2028,91970
446,17147,27/08/2024,06/03/2027,23/05/2028,1636490
434,16825,03/08/2024,18/02/2028,28/05/2028,479470
159,6182,29/06/2022,09/11/2027,28/05/2028,114140
734,28737,16/12/2026,20/07/2027,31/05/2028,74770
397,15271,11/04/2024,18/08/2026,03/06/2028,235660
140,5440,05/05/2022,17/01/2024,07/06/2028,146600
723,28435,23/11/2026,22/11/2027,12/06/2028,23040
697,26567,12/07/2026,07/04/2027,13/06/2028,127700
676,25772,16/05/2026,11/08/2026,15/06/2028,97620
523,19472,13/02/2025,17/05/2028,20/06/2028,5002190
341,13144,09/11/2023,27/07/2026,21/06/2028,1124250
432,16663,22/07/2024,22/03/2027,21/06/2028,85600
710,27394,10/09/2026,21/12/2027,24/06/2028,448690
612,23599,10/12/2025,14/03/2028,25/06/2028,964900
164,6265,05/07/2022,31/05/2027,02/07/2028,1157850
606,23258,13/11/2025,10/09/2027,04/07/2028,89430
681,25952,28/05/2026,01/04/2027,05/07/2028,851340
679,25891,24/05/2026,31/10/2027,11/07/2028,338420
197,7738,19/10/2022,15/09/2026,15/07/2028,3138600
274,10538,10/05/2023,29/05/2028,23/07/2028,325760
450,17238,04/09/2024,19/12/2027,29/07/2028,83430
248,9711,11/03/2023,18/04/2028,05/08/2028,370270
600,22742,07/10/2025,13/01/2028,06/08/2028,209840
586,22066,20/08/2025,06/08/2027,16/08/2028,1622270
721,28181,05/11/2026,06/12/2027,26/08/2028,330130
324,12285,12/09/2023,15/02/2027,08/09/2028,325070
631,24236,23/01/2026,24/02/2027,11/09/2028,188800
426,16411,03/07/2024,04/05/2027,12/09/2028,467750
238,9452,20/02/2023,17/07/2027,20/09/2028,941250
546,20150,03/04/2025,22/11/2025,24/09/2028,420770
355,13714,21/12/2023,02/01/2028,29/09/2028,47280
365,14073,14/01/2024,19/12/2027,09/10/2028,63290
729,28594,06/12/2026,04/10/2028,19/10/2028,559160
356,13717,21/12/2023,01/06/2027,20/10/2028,548000
673,25683,09/05/2026,19/11/2027,22/10/2028,557810
120,4840,21/03/2022,24/12/2025,23/10/2028,104060
265,10276,18/04/2023,12/06/2027,24/10/2028,1225700
345,13292,20/11/2023,16/08/2028,25/10/2028,749550
561,20967,04/06/2025,14/10/2027,26/10/2028,3583490
475,18044,31/10/2024,01/05/2027,01/11/2028,1073640
576,21649,24/07/2025,03/04/2027,03/11/2028,1348370
691,26298,23/06/2026,22/08/2028,04/11/2028,363760
184,7332,21/09/2022,12/01/2027,05/11/2028,1885960
633,24283,28/01/2026,04/02/2028,06/11/2028,138460
239,9460,20/02/2023,20/10/2026,06/11/2028,267980
206,7951,04/11/2022,25/09/2027,08/11/2028,578490
222,8736,01/01/2023,20/04/2028,11/11/2028,259850
497,18876,30/12/2024,19/07/2028,19/11/2028,504760
400,15377,19/04/2024,26/09/2028,03/12/2028,106710
283,10784,27/05/2023,13/05/2028,04/12/2028,458620
677,25832,20/05/2026,28/10/2027,05/12/2028,903150
507,19180,21/01/2025,23/04/2025,06/12/2028,90220
609,23344,21/11/2025,16/07/2027,19/12/2028,311730
